,cvm_code,data_origin,data,year,value,ticker
0,20532,dividendos,interest,2020,0.098379271,SANB3
0,20532,dividendos,interest,2020,0.108217198,SANB4
0,20532,dividendos,interest,2020,0.125084242,SANB4
0,20532,dividendos,interest,2020,0.23879719,SANB11
0,20532,dividendos,interest,2020,0.113712947,SANB3
0,20532,dividendos,dividend,2020,0.953719768,SANB4
0,20532,dividendos,interest,2020,0.14186406,SANB4
0,20532,dividendos,interest,2020,0.270831387,SANB11
0,20532,dividendos,dividend,2020,0.867017971,SANB3
0,20532,dividendos,interest,2020,0.128967327,SANB3
0,20532,dividendos,dividend,2020,1.820737739,SANB11
0,20532,dividendos,interest,2019,0.1404,SANB4
0,20532,dividendos,interest,2019,0.268088194,SANB11
0,20532,dividendos,interest,2019,0.1277,SANB3
0,20532,dividendos,interest,2019,0.127639925,SANB3
0,20532,dividendos,interest,2019,0.268043843,SANB11
0,20532,dividendos,interest,2019,0.140403918,SANB4
0,20532,dividendos,interest,2019,0.1403,SANB4
0,20532,dividendos,interest,2019,0.2679,SANB11
0,20532,dividendos,interest,2019,0.1276,SANB3
0,20532,dividendos,dividend,2019,0.269437587,SANB4
0,20532,dividendos,interest,2019,0.771571273,SANB11
0,20532,dividendos,dividend,2019,0.514380849,SANB11
0,20532,dividendos,dividend,2019,0.244943261,SANB3
0,20532,dividendos,interest,2019,0.367414892,SANB3
0,20532,dividendos,interest,2019,0.404156381,SANB4
0,20532,dividendos,interest,2018,0.1606,SANB11
0,20532,dividendos,interest,2018,0.0765,SANB3
0,20532,dividendos,interest,2018,0.0841,SANB4
0,20532,dividendos,dividend,2018,0.0841,SANB4
0,20532,dividendos,dividend,2018,0.0765,SANB3
0,20532,dividendos,dividend,2018,0.1606,SANB11
0,20532,dividendos,interest,2018,0.0763,SANB3
0,20532,dividendos,interest,2018,0.1603,SANB11
0,20532,dividendos,interest,2018,0.084,SANB4
0,20532,dividendos,dividend,2018,0.6684,SANB11
0,20532,dividendos,dividend,2018,0.3183,SANB3
0,20532,dividendos,interest,2018,0.2928,SANB3
0,20532,dividendos,dividend,2018,0.3501,SANB4
0,20532,dividendos,interest,2018,0.3221,SANB4
0,20532,dividendos,interest,2018,0.615,SANB11
0,20532,dividendos,interest,2017,0.0636,SANB3
0,20532,dividendos,interest,2017,0.1335,SANB11
0,20532,dividendos,interest,2017,0.07,SANB4
0,20532,dividendos,interest,2017,0.133408799,SANB11
0,20532,dividendos,interest,2017,0.063527999,SANB3
0,20532,dividendos,interest,2017,0.069880799,SANB4
0,20532,dividendos,interest,2017,0.063378001,SANB3
0,20532,dividendos,interest,2017,0.069715801,SANB4
0,20532,dividendos,interest,2017,0.133093802,SANB11
0,20532,dividendos,interest,2017,0.425119181,SANB3
0,20532,dividendos,dividend,2017,0.097713961,SANB4
0,20532,dividendos,interest,2017,0.467631099,SANB4
0,20532,dividendos,dividend,2017,0.088830874,SANB3
0,20532,dividendos,interest,2016,0.069771886,SANB4
0,20532,dividendos,interest,2016,0.063428987,SANB3
0,20532,dividendos,interest,2016,0.177398509,SANB3
0,20532,dividendos,interest,2016,0.19513836,SANB4
0,20532,dividendos,dividend,2016,0.202741153,SANB3
0,20532,dividendos,dividend,2016,0.223015268,SANB4
0,20532,dividendos,dividend,2015,0.385811566,SANB3
0,20532,dividendos,dividend,2015,0.424392722,SANB4
0,20532,dividendos,dividend,2015,0.018947368,SANB3
0,20532,dividendos,dividend,2015,0.020842105,SANB4
0,20532,dividendos,interest,2015,0.095933206,SANB4
0,20532,dividendos,interest,2015,0.087212006,SANB3
